Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude
,709 rpm,,,,,,,,,,,,,,,,,,177 m
32 °C,699 rpm,21 %,0 %,35 °C,63 °C,2 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.11 V,4 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,706 rpm,21 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.11 V,5 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,717 rpm,21 %,0 %,35 °C,62 °C,5 %,0.44 V,970 mbar,14.24 V,1 %,12 %,11 %,0.71 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,720 rpm,21 %,0 %,35 °C,63 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.64 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,710 rpm,22 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.10 V,5 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,698 rpm,22 %,0 %,35 °C,63 °C,5 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.67 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,707 rpm,21 %,0 %,35 °C,63 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.67 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,712 rpm,21 %,0 %,35 °C,63 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.11 V,4 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,711 rpm,21 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.05 V,1 %,11 %,11 %,0.11 V,5 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,717 rpm,21 %,0 %,35 °C,63 °C,5 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.67 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,705 rpm,22 %,0 %,35 °C,63 °C,3 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.67 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
