"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
0.76 V,-1 %,0.67 V,,,,,,,,,,,,,,,,,2 m
0.69 V,-2 %,0.12 V,1000 mbar,Malha fechada null,23 %,96 °C,-2 %,-1 %,350 mbar,14.05 V,640 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.58 V,-3 %,0.07 V,1000 mbar,Malha fechada null,23 %,96 °C,-2 %,-1 %,350 mbar,14.05 V,669 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.08 V,-1 %,0.06 V,1000 mbar,Malha fechada null,23 %,96 °C,-1 %,-1 %,350 mbar,14.05 V,665 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.10 V,0 %,0.07 V,1000 mbar,Malha fechada null,23 %,96 °C,0 %,-1 %,350 mbar,14.15 V,657 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.68 V,1 %,0.09 V,1000 mbar,Malha fechada null,23 %,96 °C,1 %,-1 %,350 mbar,14.05 V,656 rpm,18 %,1 %,65 °C,18 °C,11 %,11 %,2 null,2 m
0.73 V,1 %,0.16 V,1000 mbar,Malha fechada null,23 %,96 °C,1 %,-1 %,350 mbar,14.05 V,661 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.75 V,-2 %,0.66 V,1000 mbar,Malha fechada null,23 %,96 °C,-2 %,-1 %,350 mbar,13.96 V,654 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.75 V,-2 %,0.60 V,1000 mbar,Malha fechada null,23 %,96 °C,-3 %,-1 %,350 mbar,13.96 V,656 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.70 V,-4 %,0.09 V,1000 mbar,Malha fechada null,23 %,96 °C,-4 %,-1 %,350 mbar,13.96 V,664 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.55 V,-5 %,0.07 V,1000 mbar,Malha fechada null,23 %,96 °C,-3 %,-1 %,350 mbar,14.15 V,669 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.08 V,-2 %,0.06 V,1000 mbar,Malha fechada null,23 %,96 °C,-2 %,-1 %,350 mbar,14.15 V,658 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.09 V,-1 %,0.07 V,1000 mbar,Malha fechada null,23 %,95 °C,-1 %,-1 %,350 mbar,14.15 V,658 rpm,19 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.10 V,0 %,0.07 V,1000 mbar,Malha fechada null,23 %,95 °C,0 %,-1 %,350 mbar,13.96 V,659 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.14 V,1 %,0.08 V,1000 mbar,Malha fechada null,23 %,95 °C,2 %,-1 %,340 mbar,14.05 V,660 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.68 V,2 %,0.10 V,1000 mbar,Malha fechada null,23 %,95 °C,2 %,-1 %,350 mbar,13.96 V,625 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.72 V,2 %,0.61 V,1000 mbar,Malha fechada null,23 %,94 °C,2 %,-1 %,350 mbar,14.15 V,656 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.76 V,-1 %,0.69 V,1000 mbar,Malha fechada null,23 %,94 °C,-1 %,-1 %,340 mbar,14.05 V,669 rpm,18 %,1 %,65 °C,18 °C,11 %,11 %,2 null,2 m
0.75 V,-2 %,0.64 V,1000 mbar,Malha fechada null,23 %,93 °C,-2 %,-1 %,340 mbar,14.05 V,664 rpm,18 %,1 %,65 °C,18 °C,11 %,11 %,2 null,2 m
0.68 V,-3 %,0.08 V,1000 mbar,Malha fechada null,23 %,93 °C,-3 %,-1 %,340 mbar,13.96 V,665 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.11 V,-2 %,0.07 V,1000 mbar,Malha fechada null,23 %,93 °C,-2 %,-1 %,340 mbar,14.15 V,665 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.08 V,-1 %,0.06 V,1000 mbar,Malha fechada null,23 %,93 °C,0 %,-1 %,350 mbar,14.15 V,661 rpm,18 %,1 %,67 °C,18 °C,11 %,11 %,2 null,2 m
0.10 V,1 %,0.07 V,1000 mbar,Malha fechada null,23 %,93 °C,1 %,-1 %,350 mbar,14.05 V,655 rpm,18 %,1 %,67 °C,18 °C,11 %,,,2 m
,,0.09 V,,,23 %,93 °C,,,,,659 rpm,,,,,,,,2 m
,,0.09 V,,,23 %,93 °C,,,,,659 rpm,,,,,,,,2 m
,,0.09 V,,,23 %,93 °C,,,,,654 rpm,,,,,,,,2 m
,,0.10 V,,,23 %,92 °C,,,,,665 rpm,,,,,,,,2 m
,,0.13 V,,,23 %,92 °C,,,,,657 rpm,,,,,,,,2 m
,,0.40 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
,,0.63 V,,,23 %,92 °C,,,,,669 rpm,,,,,,,,2 m
,,0.66 V,,,22 %,92 °C,,,,,639 rpm,,,,,,,,2 m
,,0.67 V,,,23 %,92 °C,,,,,666 rpm,,,,,,,,2 m
,,0.68 V,,,23 %,92 °C,,,,,655 rpm,,,,,,,,2 m
,,0.67 V,,,23 %,92 °C,,,,,661 rpm,,,,,,,,2 m
,,0.67 V,,,23 %,92 °C,,,,,656 rpm,,,,,,,,2 m
,,0.68 V,,,23 %,92 °C,,,,,664 rpm,,,,,,,,2 m
,,0.67 V,,,23 %,92 °C,,,,,658 rpm,,,,,,,,2 m
,,0.66 V,,,23 %,92 °C,,,,,670 rpm,,,,,,,,2 m
,,0.64 V,,,23 %,92 °C,,,,,672 rpm,,,,,,,,2 m
,,0.60 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
,,0.36 V,,,23 %,92 °C,,,,,663 rpm,,,,,,,,2 m
,,0.15 V,,,23 %,92 °C,,,,,667 rpm,,,,,,,,2 m
,,0.09 V,,,23 %,92 °C,,,,,664 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,92 °C,,,,,664 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,669 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,652 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,658 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,655 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,92 °C,,,,,655 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,92 °C,,,,,661 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,92 °C,,,,,661 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,92 °C,,,,,663 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,92 °C,,,,,652 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,659 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,659 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,659 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,92 °C,,,,,663 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,91 °C,,,,,657 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,92 °C,,,,,666 rpm,,,,,,,,2 m
,,0.09 V,,,23 %,92 °C,,,,,651 rpm,,,,,,,,2 m
,,0.09 V,,,23 %,91 °C,,,,,651 rpm,,,,,,,,2 m
,,0.11 V,,,23 %,91 °C,,,,,665 rpm,,,,,,,,2 m
,,0.13 V,,,23 %,92 °C,,,,,658 rpm,,,,,,,,2 m
,,0.15 V,,,22 %,92 °C,,,,,659 rpm,,,,,,,,2 m
,,0.47 V,,,23 %,91 °C,,,,,655 rpm,,,,,,,,2 m
,,0.64 V,,,23 %,91 °C,,,,,663 rpm,,,,,,,,2 m
,,0.66 V,,,22 %,91 °C,,,,,656 rpm,,,,,,,,2 m
,,0.67 V,,,22 %,91 °C,,,,,666 rpm,,,,,,,,2 m
,,0.67 V,,,22 %,91 °C,,,,,661 rpm,,,,,,,,2 m
,,0.66 V,,,23 %,91 °C,,,,,663 rpm,,,,,,,,2 m
,,0.67 V,,,22 %,91 °C,,,,,659 rpm,,,,,,,,2 m
,,0.66 V,,,22 %,91 °C,,,,,654 rpm,,,,,,,,2 m
,,0.65 V,,,23 %,91 °C,,,,,658 rpm,,,,,,,,2 m
,,0.64 V,,,22 %,91 °C,,,,,649 rpm,,,,,,,,2 m
,,0.58 V,,,22 %,91 °C,,,,,669 rpm,,,,,,,,2 m
,,0.44 V,,,22 %,90 °C,,,,,662 rpm,,,,,,,,2 m
,,0.21 V,,,22 %,90 °C,,,,,664 rpm,,,,,,,,2 m
,,0.09 V,,,22 %,90 °C,,,,,664 rpm,,,,,,,,2 m
,,0.09 V,,,22 %,90 °C,,,,,649 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,90 °C,,,,,663 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,90 °C,,,,,653 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,664 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,658 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,666 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,665 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,668 rpm,,,,,,,,2 m
,,0.06 V,,,22 %,90 °C,,,,,652 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,90 °C,,,,,671 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,676 rpm,,,,,,,,2 m
,,0.06 V,,,23 %,90 °C,,,,,659 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,665 rpm,,,,,,,,2 m
,,0.07 V,,,22 %,90 °C,,,,,650 rpm,,,,,,,,2 m
,,0.07 V,,,22 %,90 °C,,,,,644 rpm,,,,,,,,2 m
,,0.07 V,,,21 %,90 °C,,,,,661 rpm,,,,,,,,2 m
,,0.07 V,,,21 %,90 °C,,,,,640 rpm,,,,,,,,2 m
,,0.07 V,,,22 %,90 °C,,,,,676 rpm,,,,,,,,2 m
,,0.08 V,,,23 %,90 °C,,,,,665 rpm,,,,,,,,2 m
,,0.09 V,,,23 %,90 °C,,,,,671 rpm,,,,,,,,2 m
,,0.11 V,,,22 %,90 °C,,,,,653 rpm,,,,,,,,2 m
,,0.49 V,,,22 %,90 °C,,,,,670 rpm,,,,,,,,2 m
,,0.69 V,,,21 %,90 °C,,,,,654 rpm,,,,,,,,2 m
,,0.71 V,,,21 %,90 °C,,,,,667 rpm,,,,,,,,2 m
,,0.74 V,,,22 %,90 °C,,,,,655 rpm,,,,,,,,2 m
,,0.75 V,,,22 %,90 °C,,,,,659 rpm,,,,,,,,2 m
,,0.75 V,,,22 %,90 °C,,,,,658 rpm,,,,,,,,2 m
,,0.76 V,,,22 %,90 °C,,,,,649 rpm,,,,,,,,2 m
,,0.77 V,,,22 %,90 °C,,,,,676 rpm,,,,,,,,2 m
,,0.77 V,,,22 %,90 °C,,,,,653 rpm,,,,,,,,2 m
,,0.77 V,,,22 %,90 °C,,,,,672 rpm,,,,,,,,2 m
,,0.77 V,,,22 %,90 °C,,,,,646 rpm,,,,,,,,2 m
,,0.77 V,,,23 %,90 °C,,,,,654 rpm,,,,,,,,2 m
,,0.76 V,,,23 %,90 °C,,,,,656 rpm,,,,,,,,2 m
,,0.75 V,,,23 %,90 °C,,,,,638 rpm,,,,,,,,2 m
,,0.74 V,,,23 %,90 °C,,,,,673 rpm,,,,,,,,2 m
,,0.74 V,,,22 %,90 °C,,,,,663 rpm,,,,,,,,2 m
,,0.72 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
,,0.69 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
,,0.66 V,,,22 %,90 °C,,,,,646 rpm,,,,,,,,2 m
,,0.61 V,,,22 %,90 °C,,,,,661 rpm,,,,,,,,2 m
,,0.57 V,,,22 %,90 °C,,,,,662 rpm,,,,,,,,2 m
,,0.33 V,,,22 %,90 °C,,,,,660 rpm,,,,,,,,2 m
,,0.12 V,,,22 %,90 °C,,,,,655 rpm,,,,,,,,2 m
,,0.09 V,,,22 %,90 °C,,,,,656 rpm,,,,,,,,2 m
,,0.08 V,,,22 %,90 °C,,,,,651 rpm,,,,,,,,2 m
,,0.08 V,,,22 %,90 °C,,,,,652 rpm,,,,,,,,2 m
,,0.08 V,,,22 %,90 °C,,,,,639 rpm,,,,,,,,2 m
,,0.08 V,,,22 %,90 °C,,,,,671 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,89 °C,,,,,659 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,668 rpm,,,,,,,,2 m
,,0.07 V,,,23 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.09 V,1 %,0.08 V,,,22 %,89 °C,,,,,671 rpm,,,,,,,,2 m
0.10 V,2 %,0.08 V,,,22 %,88 °C,,,,,646 rpm,,,,,,,,2 m
0.18 V,2 %,0.09 V,,,22 %,89 °C,,,,,671 rpm,,,,,,,,2 m
0.67 V,2 %,0.10 V,,,23 %,89 °C,,,,,664 rpm,,,,,,,,2 m
0.70 V,2 %,0.11 V,,,22 %,88 °C,,,,,653 rpm,,,,,,,,2 m
0.73 V,2 %,0.37 V,,,22 %,89 °C,,,,,656 rpm,,,,,,,,2 m
0.74 V,2 %,0.67 V,,,22 %,88 °C,,,,,665 rpm,,,,,,,,2 m
0.75 V,2 %,0.68 V,,,22 %,88 °C,,,,,663 rpm,,,,,,,,2 m
0.76 V,2 %,0.68 V,,,22 %,88 °C,,,,,650 rpm,,,,,,,,2 m
0.76 V,2 %,0.69 V,,,22 %,88 °C,,,,,665 rpm,,,,,,,,2 m
0.76 V,0 %,0.69 V,,,22 %,88 °C,,,,,651 rpm,,,,,,,,2 m
0.77 V,0 %,0.70 V,,,22 %,88 °C,,,,,654 rpm,,,,,,,,2 m
0.77 V,-1 %,0.69 V,,,22 %,88 °C,,,,,668 rpm,,,,,,,,2 m
0.76 V,-1 %,0.69 V,,,22 %,88 °C,,,,,669 rpm,,,,,,,,2 m
0.76 V,-1 %,0.68 V,,,22 %,88 °C,,,,,665 rpm,,,,,,,,2 m
0.75 V,-2 %,0.65 V,,,22 %,88 °C,,,,,653 rpm,,,,,,,,2 m
0.74 V,-2 %,0.61 V,,,22 %,88 °C,,,,,661 rpm,,,,,,,,2 m
0.73 V,-2 %,0.57 V,,,22 %,88 °C,,,,,669 rpm,,,,,,,,2 m
0.71 V,-2 %,0.42 V,,,22 %,88 °C,,,,,658 rpm,,,,,,,,2 m
0.68 V,-2 %,0.11 V,,,22 %,88 °C,,,,,666 rpm,,,,,,,,2 m
0.64 V,-2 %,0.09 V,,,23 %,88 °C,,,,,663 rpm,,,,,,,,2 m
0.59 V,-3 %,0.08 V,,,24 %,88 °C,,,,,659 rpm,,,,,,,,2 m
0.28 V,-2 %,0.07 V,,,23 %,87 °C,,,,,661 rpm,,,,,,,,2 m
0.13 V,-1 %,0.08 V,,,23 %,88 °C,,,,,673 rpm,,,,,,,,2 m
0.14 V,-1 %,0.08 V,,,22 %,87 °C,,,,,660 rpm,,,,,,,,2 m
0.12 V,0 %,0.07 V,,,22 %,88 °C,,,,,669 rpm,,,,,,,,2 m
0.10 V,0 %,0.07 V,,,22 %,87 °C,,,,,669 rpm,,,,,,,,2 m
0.10 V,0 %,0.07 V,,,22 %,87 °C,,,,,657 rpm,,,,,,,,2 m
0.12 V,1 %,0.07 V,,,22 %,87 °C,,,,,647 rpm,,,,,,,,2 m
0.12 V,1 %,0.07 V,,,22 %,87 °C,,,,,650 rpm,,,,,,,,2 m
0.11 V,1 %,0.08 V,,,22 %,87 °C,,,,,656 rpm,,,,,,,,2 m
0.17 V,2 %,0.08 V,,,22 %,87 °C,,,,,624 rpm,,,,,,,,2 m
0.63 V,2 %,0.09 V,,,24 %,87 °C,,,,,667 rpm,,,,,,,,2 m
0.67 V,2 %,0.09 V,,,23 %,87 °C,,,,,685 rpm,,,,,,,,2 m
0.71 V,2 %,0.10 V,,,23 %,87 °C,,,,,678 rpm,,,,,,,,2 m
0.74 V,2 %,0.55 V,,,23 %,87 °C,,,,,651 rpm,,,,,,,,2 m
0.75 V,2 %,0.67 V,,,23 %,87 °C,,,,,653 rpm,,,,,,,,2 m
0.76 V,2 %,0.68 V,,,23 %,87 °C,,,,,666 rpm,,,,,,,,2 m
0.76 V,2 %,0.67 V,,,23 %,87 °C,,,,,679 rpm,,,,,,,,2 m
0.76 V,-1 %,0.68 V,,,22 %,87 °C,,,,,661 rpm,,,,,,,,2 m
0.75 V,-1 %,0.67 V,,,22 %,87 °C,,,,,647 rpm,,,,,,,,2 m
0.75 V,-2 %,0.66 V,,,22 %,87 °C,,,,,652 rpm,,,,,,,,2 m
0.74 V,-2 %,0.63 V,,,22 %,87 °C,,,,,656 rpm,,,,,,,,2 m
0.72 V,-2 %,0.49 V,,,22 %,87 °C,,,,,664 rpm,,,,,,,,2 m
0.70 V,-2 %,0.11 V,,,22 %,87 °C,,,,,664 rpm,,,,,,,,2 m
