"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
,,0.45 V,1010 mbar,N/A null,0 %,21 °C,0 %,1 %,1010 mbar,12.07 V,0 rpm,0 %,5 %,21 °C,19 °C,16 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,N/A null,0 %,21 °C,0 %,1 %,1010 mbar,12.07 V,0 rpm,0 %,5 %,21 °C,19 °C,16 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,N/A null,0 %,21 °C,0 %,1 %,1010 mbar,12.07 V,0 rpm,0 %,5 %,21 °C,19 °C,16 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,N/A null,0 %,21 °C,0 %,1 %,1010 mbar,11.41 V,0 rpm,0 %,5 %,21 °C,21 °C,16 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,73 %,21 °C,0 %,1 %,970 mbar,10.28 V,270 rpm,62 %,5 %,21 °C,21 °C,16 %,16 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,37 %,21 °C,0 %,1 %,350 mbar,11.79 V,2255 rpm,23 %,5 %,21 °C,21 °C,16 %,16 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,22 %,21 °C,0 %,1 %,310 mbar,11.79 V,2102 rpm,21 %,5 %,21 °C,21 °C,16 %,16 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,22 %,21 °C,0 %,1 %,310 mbar,11.79 V,1960 rpm,22 %,5 %,21 °C,21 °C,16 %,16 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,23 %,21 °C,0 %,1 %,330 mbar,11.79 V,1813 rpm,23 %,5 %,21 °C,21 °C,16 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,25 %,21 °C,0 %,1 %,350 mbar,11.88 V,1632 rpm,25 %,5 %,21 °C,20 °C,15 %,15 %,0 null,19 m
0.44 V,0 %,0.45 V,1010 mbar,Malha aberta null,27 %,21 °C,0 %,1 %,370 mbar,11.79 V,1499 rpm,27 %,5 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,21 °C,0 %,1 %,380 mbar,11.79 V,1413 rpm,27 %,5 %,20 °C,20 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,21 °C,0 %,1 %,380 mbar,11.79 V,1405 rpm,27 %,5 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,21 °C,0 %,1 %,380 mbar,11.79 V,1399 rpm,27 %,5 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,21 °C,0 %,1 %,370 mbar,11.79 V,1393 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,28 %,21 °C,0 %,1 %,370 mbar,11.79 V,1390 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,28 %,21 °C,0 %,1 %,370 mbar,11.88 V,1384 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.45 V,0 %,0.45 V,1010 mbar,Malha aberta null,28 %,22 °C,0 %,1 %,360 mbar,12.07 V,1386 rpm,25 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.46 V,0 %,0.45 V,1010 mbar,Malha aberta null,28 %,22 °C,0 %,1 %,370 mbar,12.17 V,1382 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.47 V,0 %,0.45 V,1010 mbar,Malha aberta null,28 %,22 °C,0 %,1 %,370 mbar,12.36 V,1381 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.48 V,0 %,0.45 V,1010 mbar,Malha aberta null,28 %,22 °C,0 %,1 %,370 mbar,12.45 V,1380 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.49 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,23 °C,0 %,1 %,370 mbar,12.55 V,1375 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.51 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,23 °C,0 %,1 %,370 mbar,12.64 V,1388 rpm,26 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.53 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,23 °C,0 %,1 %,380 mbar,12.64 V,1379 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.55 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,23 °C,0 %,1 %,380 mbar,12.73 V,1378 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.48 V,0 %,0.45 V,1010 mbar,Malha aberta null,30 %,24 °C,0 %,1 %,390 mbar,12.83 V,1387 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.43 V,0 %,0.45 V,1010 mbar,Malha aberta null,30 %,24 °C,0 %,1 %,390 mbar,12.83 V,1383 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.44 V,0 %,0.45 V,1010 mbar,Malha aberta null,29 %,24 °C,0 %,1 %,390 mbar,13.02 V,1386 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.55 V,0 %,0.45 V,1010 mbar,Malha aberta null,30 %,24 °C,0 %,1 %,390 mbar,13.02 V,1387 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
