Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude
,975 rpm,25 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.45 V,0 %,350 mbar,Malha aberta null,21 %,0 null,845 m
21 °C,620 rpm,27 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,13.87 V,3 %,13 %,13 %,0.45 V,0 %,440 mbar,Malha aberta null,26 %,0 null,845 m
21 °C,777 rpm,29 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.05 V,2 %,13 %,13 %,0.45 V,0 %,390 mbar,Malha aberta null,22 %,0 null,845 m
21 °C,757 rpm,25 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.05 V,2 %,13 %,13 %,0.45 V,0 %,370 mbar,Malha aberta null,21 %,0 null,845 m
21 °C,762 rpm,25 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.45 V,0 %,360 mbar,Malha aberta null,21 %,0 null,845 m
21 °C,741 rpm,24 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.34 V,2 %,13 %,13 %,0.47 V,0 %,370 mbar,Malha aberta null,21 %,0 null,845 m
21 °C,698 rpm,25 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.24 V,3 %,14 %,13 %,0.44 V,0 %,410 mbar,Malha aberta null,24 %,0 null,845 m
21 °C,677 rpm,29 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.24 V,3 %,14 %,14 %,0.42 V,0 %,450 mbar,Malha aberta null,27 %,0 null,845 m
21 °C,668 rpm,33 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.24 V,4 %,15 %,15 %,0.41 V,0 %,530 mbar,Malha aberta null,32 %,0 null,845 m
21 °C,654 rpm,39 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.24 V,4 %,15 %,15 %,0.38 V,0 %,660 mbar,Malha aberta - condição de codução null,46 %,0 null,845 m
21 °C,760 rpm,49 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.05 V,2 %,13 %,13 %,0.35 V,0 %,550 mbar,Malha aberta - condição de codução null,33 %,0 null,845 m
21 °C,733 rpm,35 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.24 V,2 %,13 %,13 %,0.35 V,0 %,400 mbar,Malha aberta - condição de codução null,23 %,0 null,845 m
21 °C,795 rpm,25 %,0 %,36 °C,45 °C,0 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.75 V,-1 %,340 mbar,Malha fechada null,19 %,0 null,845 m
21 °C,744 rpm,22 %,0 %,36 °C,45 °C,-1 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.76 V,-2 %,350 mbar,Malha fechada null,20 %,0 null,845 m
21 °C,696 rpm,24 %,0 %,36 °C,45 °C,-2 %,0.45 V,1010 mbar,14.24 V,2 %,13 %,13 %,0.75 V,-2 %,380 mbar,Malha fechada null,22 %,0 null,845 m
21 °C,681 rpm,26 %,0 %,36 °C,45 °C,-2 %,0.45 V,1010 mbar,14.24 V,3 %,14 %,14 %,0.33 V,1 %,430 mbar,Malha fechada null,25 %,0 null,845 m
21 °C,643 rpm,31 %,0 %,36 °C,45 °C,2 %,0.45 V,1010 mbar,14.24 V,4 %,15 %,15 %,0.32 V,2 %,530 mbar,Malha fechada null,33 %,0 null,845 m
21 °C,626 rpm,41 %,0 %,36 °C,45 °C,2 %,0.45 V,1010 mbar,14.24 V,5 %,15 %,15 %,0.32 V,3 %,680 mbar,Malha fechada null,41 %,0 null,845 m
21 °C,729 rpm,46 %,0 %,36 °C,45 °C,5 %,0.45 V,1010 mbar,14.24 V,3 %,13 %,13 %,0.33 V,5 %,490 mbar,Malha fechada null,29 %,0 null,845 m
21 °C,777 rpm,30 %,0 %,36 °C,45 °C,6 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.33 V,6 %,360 mbar,Malha fechada null,21 %,0 null,845 m
21 °C,784 rpm,24 %,0 %,36 °C,45 °C,7 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.76 V,7 %,330 mbar,Malha fechada null,19 %,0 null,845 m
21 °C,730 rpm,22 %,0 %,36 °C,45 °C,7 %,0.45 V,1010 mbar,14.34 V,2 %,13 %,13 %,0.76 V,7 %,350 mbar,Malha fechada null,20 %,0 null,845 m
21 °C,666 rpm,24 %,0 %,36 °C,45 °C,5 %,0.45 V,1010 mbar,14.05 V,3 %,13 %,13 %,0.73 V,4 %,390 mbar,Malha fechada null,23 %,0 null,845 m
21 °C,688 rpm,27 %,0 %,36 °C,45 °C,7 %,0.45 V,1010 mbar,14.34 V,3 %,14 %,13 %,0.29 V,8 %,400 mbar,Malha fechada null,24 %,0 null,845 m
21 °C,731 rpm,27 %,0 %,36 °C,45 °C,9 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.30 V,9 %,370 mbar,Malha fechada null,21 %,0 null,845 m
21 °C,763 rpm,24 %,0 %,36 °C,45 °C,9 %,0.45 V,1010 mbar,14.24 V,2 %,13 %,13 %,0.30 V,10 %,340 mbar,Malha fechada null,20 %,0 null,845 m
21 °C,736 rpm,23 %,0 %,36 °C,45 °C,10 %,0.45 V,1010 mbar,14.15 V,2 %,13 %,13 %,0.31 V,11 %,360 mbar,Malha fechada null,21 %,0 null,845 m
21 °C,702 rpm,25 %,0 %,36 °C,45 °C,11 %,0.45 V,1010 mbar,14.34 V,3 %,13 %,13 %,0.31 V,12 %,380 mbar,Malha fechada null,,,845 m
,740 rpm,26 %,,,45 °C,,,,,,,,,,,,,,845 m
,749 rpm,26 %,,,45 °C,,,,,,,,,,,,,,845 m
,757 rpm,26 %,,,45 °C,,,,,,,,,,,,,,845 m
,761 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,765 rpm,24 %,,,45 °C,,,,,,,,,,,,,,845 m
,758 rpm,24 %,,,45 °C,,,,,,,,,,,,,,845 m
,760 rpm,24 %,,,45 °C,,,,,,,,,,,,,,845 m
,758 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,759 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,758 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,754 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,749 rpm,22 %,,,45 °C,,,,,,,,,,,,,,845 m
,745 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,738 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,732 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,723 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,715 rpm,23 %,,,45 °C,,,,,,,,,,,,,,845 m
,711 rpm,24 %,,,45 °C,,,,,,,,,,,,,,845 m
,710 rpm,24 %,,,45 °C,,,,,,,,,,,,,,845 m
,709 rpm,24 %,,,45 °C,,,,,,,,,,,,,,845 m
,709 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,711 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,721 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,727 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,733 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,739 rpm,25 %,,,45 °C,,,,,,,,,,,,,,845 m
,740 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,750 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,759 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,765 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,764 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,764 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,763 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,763 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,760 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,758 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,754 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,748 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,748 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,742 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,737 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,729 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,718 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,718 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,712 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,712 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,711 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,712 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,712 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,731 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,737 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,746 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,752 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,758 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,768 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,767 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,766 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,763 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,766 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,763 rpm,22 %,,,46 °C,,,,,,,,,,,,,,845 m
,759 rpm,26 %,,,46 °C,,,,,,,,,,,,,,845 m
,767 rpm,31 %,,,46 °C,,,,,,,,,,,,,,845 m
,871 rpm,35 %,,,46 °C,,,,,,,,,,,,,,845 m
,949 rpm,38 %,,,46 °C,,,,,,,,,,,,,,845 m
,1059 rpm,40 %,,,46 °C,,,,,,,,,,,,,,845 m
,1095 rpm,42 %,,,46 °C,,,,,,,,,,,,,,845 m
,1146 rpm,43 %,,,46 °C,,,,,,,,,,,,,,845 m
,1198 rpm,44 %,,,46 °C,,,,,,,,,,,,,,845 m
,1280 rpm,45 %,,,46 °C,,,,,,,,,,,,,,845 m
,1278 rpm,45 %,,,46 °C,,,,,,,,,,,,,,845 m
,1356 rpm,47 %,,,46 °C,,,,,,,,,,,,,,845 m
,1394 rpm,47 %,,,46 °C,,,,,,,,,,,,,,845 m
,1437 rpm,46 %,,,46 °C,,,,,,,,,,,,,,845 m
,1492 rpm,42 %,,,46 °C,,,,,,,,,,,,,,845 m
,1687 rpm,41 %,,,46 °C,,,,,,,,,,,,,,845 m
,1759 rpm,39 %,,,46 °C,,,,,,,,,,,,,,845 m
,1849 rpm,37 %,,,46 °C,,,,,,,,,,,,,,845 m
,1960 rpm,34 %,,,46 °C,,,,,,,,,,,,,,845 m
,2109 rpm,32 %,,,46 °C,,,,,,,,,,,,,,845 m
,2254 rpm,30 %,,,46 °C,,,,,,,,,,,,,,845 m
,2395 rpm,27 %,,,46 °C,,,,,,,,,,,,,,845 m
,2617 rpm,25 %,,,46 °C,,,,,,,,,,,,,,845 m
,2705 rpm,24 %,,,46 °C,,,,,,,,,,,,,,845 m
,2772 rpm,23 %,,,46 °C,,,,,,,,,,,,,,845 m
,2825 rpm,20 %,,,46 °C,,,,,,,,,,,,,,845 m
