"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
,,,,,,,-3 %,2 %,,,1384 rpm,,6 %,,,,,,10 m
,,,,,,28 °C,-4 %,2 %,,,1374 rpm,,6 %,,,,,,10 m
,,,,,,28 °C,-5 %,2 %,,,1383 rpm,,6 %,,,,,,10 m
,,,,,,29 °C,-5 %,2 %,,,1375 rpm,,6 %,,,,,,10 m
,,,,,,29 °C,-6 %,2 %,,,1376 rpm,,6 %,,,,,,10 m
,,,,,,29 °C,-3 %,2 %,,,1380 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,-2 %,2 %,,,1379 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,-2 %,2 %,,,1383 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,-2 %,2 %,,,1386 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,0 %,2 %,,,1391 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,1 %,2 %,,,1394 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,2 %,2 %,,,1396 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,2 %,2 %,,,1386 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,3 %,2 %,,,1583 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,4 %,2 %,,,1768 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,5 %,2 %,,,1964 rpm,,7 %,,,,,,10 m
,,,,,,29 °C,6 %,2 %,,,2082 rpm,,6 %,,,,,,10 m
,,,,,,29 °C,6 %,2 %,,,1989 rpm,,6 %,,,,,,10 m
,,,,,,29 °C,6 %,2 %,,,1899 rpm,,7 %,,,,,,10 m
,,,,,,30 °C,6 %,2 %,,,1822 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,6 %,2 %,,,1769 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,4 %,2 %,,,1739 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,3 %,2 %,,,1682 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,3 %,2 %,,,1627 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,2 %,2 %,,,1595 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,2 %,2 %,,,1556 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,1 %,2 %,,,1529 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,0 %,2 %,,,1492 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,0 %,2 %,,,1465 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,-1 %,2 %,,,1441 rpm,,5 %,,,,,,10 m
