Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude
,666 rpm,18 %,0 %,67 °C,87 °C,2 %,0.65 V,990 mbar,13.96 V,0 %,11 %,11 %,0.74 V,-1 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,659 rpm,18 %,0 %,67 °C,87 °C,-1 %,0.67 V,990 mbar,13.96 V,0 %,11 %,11 %,0.73 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,659 rpm,18 %,0 %,67 °C,87 °C,-2 %,0.67 V,990 mbar,14.05 V,0 %,11 %,11 %,0.67 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,655 rpm,18 %,0 %,67 °C,87 °C,-1 %,0.65 V,990 mbar,14.05 V,0 %,11 %,11 %,0.09 V,-1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,663 rpm,19 %,0 %,67 °C,87 °C,0 %,0.63 V,990 mbar,14.05 V,0 %,11 %,11 %,0.08 V,0 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,662 rpm,19 %,0 %,67 °C,87 °C,1 %,0.62 V,990 mbar,13.96 V,0 %,11 %,11 %,0.11 V,1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,648 rpm,19 %,0 %,67 °C,87 °C,2 %,0.61 V,990 mbar,14.05 V,0 %,11 %,11 %,0.29 V,2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,658 rpm,18 %,0 %,67 °C,87 °C,2 %,0.61 V,990 mbar,14.05 V,0 %,11 %,11 %,0.72 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,18 %,0 %,67 °C,87 °C,2 %,0.65 V,990 mbar,14.05 V,0 %,11 %,11 %,0.75 V,0 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,653 rpm,18 %,0 %,67 °C,88 °C,-1 %,0.67 V,990 mbar,14.05 V,0 %,11 %,11 %,0.73 V,-1 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,661 rpm,18 %,0 %,67 °C,87 °C,-2 %,0.66 V,990 mbar,14.05 V,0 %,11 %,11 %,0.62 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,656 rpm,18 %,0 %,67 °C,87 °C,0 %,0.64 V,990 mbar,14.05 V,0 %,11 %,11 %,0.09 V,0 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,19 %,0 %,67 °C,87 °C,1 %,0.62 V,990 mbar,13.96 V,0 %,11 %,11 %,0.11 V,1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,658 rpm,19 %,0 %,67 °C,88 °C,2 %,0.63 V,990 mbar,13.96 V,0 %,11 %,11 %,0.66 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,657 rpm,18 %,0 %,67 °C,88 °C,2 %,0.63 V,990 mbar,13.96 V,0 %,11 %,11 %,0.73 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,18 %,0 %,67 °C,88 °C,-1 %,0.66 V,990 mbar,14.05 V,0 %,11 %,11 %,0.76 V,-1 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,18 %,0 %,67 °C,88 °C,-2 %,0.68 V,990 mbar,14.05 V,0 %,11 %,11 %,0.73 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,663 rpm,18 %,0 %,67 °C,88 °C,-2 %,0.66 V,990 mbar,14.05 V,0 %,11 %,11 %,0.53 V,-2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,654 rpm,19 %,0 %,67 °C,88 °C,-1 %,0.64 V,990 mbar,13.96 V,0 %,11 %,11 %,0.09 V,0 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,665 rpm,19 %,0 %,67 °C,88 °C,0 %,0.63 V,990 mbar,14.05 V,0 %,11 %,11 %,0.10 V,1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,669 rpm,19 %,0 %,67 °C,88 °C,1 %,0.61 V,990 mbar,14.05 V,0 %,11 %,11 %,0.19 V,2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,659 rpm,19 %,0 %,67 °C,89 °C,2 %,0.61 V,990 mbar,13.96 V,0 %,11 %,11 %,0.69 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,656 rpm,18 %,0 %,67 °C,89 °C,2 %,0.64 V,990 mbar,13.96 V,0 %,11 %,11 %,0.75 V,0 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,18 %,0 %,67 °C,90 °C,-1 %,0.67 V,990 mbar,13.96 V,0 %,11 %,11 %,0.77 V,-1 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,651 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.67 V,990 mbar,14.05 V,0 %,11 %,11 %,0.74 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,657 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.67 V,990 mbar,14.05 V,0 %,11 %,11 %,0.58 V,-3 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,19 %,0 %,67 °C,90 °C,-1 %,0.64 V,990 mbar,14.05 V,0 %,11 %,11 %,0.08 V,-1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,666 rpm,19 %,0 %,67 °C,90 °C,0 %,0.62 V,990 mbar,14.05 V,0 %,11 %,11 %,0.09 V,0 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,656 rpm,19 %,0 %,67 °C,90 °C,1 %,0.61 V,990 mbar,13.96 V,0 %,11 %,11 %,0.28 V,1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,654 rpm,18 %,0 %,67 °C,90 °C,2 %,0.61 V,990 mbar,13.87 V,0 %,11 %,11 %,0.74 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,661 rpm,18 %,0 %,67 °C,90 °C,2 %,0.65 V,990 mbar,13.96 V,0 %,11 %,11 %,0.77 V,-1 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,657 rpm,18 %,0 %,67 °C,90 °C,-1 %,0.67 V,990 mbar,13.96 V,0 %,11 %,11 %,0.76 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,659 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.67 V,990 mbar,14.05 V,0 %,11 %,11 %,0.68 V,-2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,657 rpm,19 %,0 %,67 °C,90 °C,-3 %,0.65 V,990 mbar,13.96 V,0 %,11 %,11 %,0.09 V,-1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,657 rpm,19 %,0 %,67 °C,90 °C,0 %,0.63 V,990 mbar,13.96 V,0 %,11 %,11 %,0.09 V,0 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,19 %,0 %,67 °C,90 °C,1 %,0.62 V,990 mbar,13.96 V,0 %,11 %,11 %,0.11 V,1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,19 %,0 %,67 °C,90 °C,2 %,0.61 V,990 mbar,13.96 V,0 %,11 %,11 %,0.68 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,667 rpm,18 %,0 %,67 °C,90 °C,2 %,0.63 V,990 mbar,14.05 V,0 %,11 %,11 %,0.75 V,2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,656 rpm,18 %,0 %,67 °C,90 °C,-1 %,0.66 V,990 mbar,13.96 V,0 %,11 %,11 %,0.75 V,-1 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,661 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.68 V,990 mbar,13.96 V,0 %,11 %,11 %,0.71 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,653 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.66 V,990 mbar,13.87 V,0 %,11 %,11 %,0.61 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,663 rpm,18 %,0 %,67 °C,90 °C,-1 %,0.64 V,990 mbar,14.05 V,0 %,11 %,11 %,0.08 V,-1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,651 rpm,19 %,0 %,67 °C,90 °C,0 %,0.63 V,990 mbar,14.05 V,0 %,11 %,11 %,0.09 V,0 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,649 rpm,19 %,0 %,67 °C,90 °C,1 %,0.61 V,990 mbar,14.05 V,0 %,11 %,11 %,0.14 V,1 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,665 rpm,19 %,0 %,67 °C,90 °C,2 %,0.61 V,990 mbar,13.96 V,0 %,11 %,11 %,0.67 V,2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,663 rpm,19 %,0 %,67 °C,90 °C,2 %,0.63 V,990 mbar,13.96 V,0 %,11 %,11 %,0.71 V,2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,665 rpm,18 %,0 %,67 °C,90 °C,-1 %,0.65 V,990 mbar,13.96 V,0 %,11 %,11 %,0.75 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,660 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.67 V,990 mbar,14.05 V,0 %,11 %,11 %,0.70 V,-2 %,280 mbar,Malha fechada null,15 %,0 null,0 m
29 °C,661 rpm,18 %,0 %,67 °C,90 °C,-2 %,0.66 V,990 mbar,14.05 V,0 %,11 %,11 %,0.41 V,-2 %,290 mbar,Malha fechada null,15 %,0 null,0 m
